;2019;2019;2019;2022;2022;2022
;degree_centrality;betweenness_centrality;closeness_centrality;degree_centrality;betweenness_centrality;closeness_centrality
;2019;2019;2019;2022;2022;2022
AGP;0.269;0.019;0.539;-;-;-
AMS;0.308;0.04;0.555;0.32;0.042;0.568
CPH;0.255;0.025;0.534;0.221;0.015;0.521
DUB;0.276;0.023;0.529;0.272;0.018;0.542
RHO;0.241;0.023;0.518;0.228;0.023;0.523
STN;0.349;0.05;0.548;0.322;0.034;0.564
MAN;0.263;0.017;0.525;0.258;0.016;0.535
MUC;0.273;0.018;0.533;0.272;0.015;0.539
GVA;0.288;0.044;0.536;0.295;0.031;0.554
ZRH;0.3;0.038;0.548;0.317;0.03;0.561
ATH;0.237;0.022;0.513;0.224;0.022;0.52
BCN;0.282;0.018;0.533;0.267;0.016;0.536
LBG;0.239;0.037;0.52;0.285;0.042;0.552
LGW;0.253;0.019;0.518;-;-;-
LTN;0.3;0.037;0.55;0.308;0.027;0.559
MAD;0.276;0.029;0.532;-;-;-
FAB;-;-;-;0.235;0.02;0.528
BQH;-;-;-;0.263;0.023;0.541
HAM;-;-;-;0.233;0.031;0.528
NCE;-;-;-;0.322;0.034;0.564
IBZ;-;-;-;0.278;0.02;0.543
PRG;-;-;-;0.249;0.018;0.531
PMI;-;-;-;0.374;0.055;0.59
